Iteration	posterior	NumSpeciation	numExtinction	numMassExtinctions 
100	-1609.82014812576	5	3	0
200	-1604.80697065303	4	1	0
300	-1606.41759093182	5	1	0
400	-1619.4440194318	6	3	0
500	-1610.50536456737	4	3	0
600	-1606.69560034721	4	3	0
700	-1609.32094636079	5	3	0
800	-1608.18315100588	3	5	0
900	-1625.50716980614	8	3	0
1000	-1608.41273214382	4	2	0
1100	-1613.6499885073	6	3	0
1200	-1606.23631482463	5	2	0
1300	-1607.84810848169	5	2	0
1400	-1603.56094250478	3	3	0
1500	-1598.78300782147	3	2	0
1600	-1614.74659794225	6	2	0
1700	-1625.57988606752	8	4	0
1800	-1614.34924312141	5	3	0
1900	-1610.29671875389	4	4	0
2000	-1602.17429109134	3	2	0
2100	-1606.14324584311	4	3	0
2200	-1605.48859198557	4	3	0
2300	-1606.24897125654	4	4	0
2400	-1603.83311812209	3	4	0
2500	-1618.65481750281	3	3	0
2600	-1604.2195317453	3	4	0
2700	-1603.93517249457	5	1	0
2800	-1600.35791677568	3	2	0
2900	-1602.38609341102	4	2	0
3000	-1601.65348009596	4	1	0
3100	-1607.32248112522	4	3	0
3200	-1605.09546935197	4	3	0
3300	-1600.16874030519	4	2	0
3400	-1620.87195023339	7	3	0
3500	-1610.27105454168	6	2	0
3600	-1604.03638631077	5	1	0
3700	-1599.57747996121	4	2	0
3800	-1602.80228378105	5	1	0
3900	-1608.48853889052	4	4	0
4000	-1607.23066276884	4	3	0
4100	-1630.45715527783	7	6	0
4200	-1599.44708547341	4	1	0
4300	-1617.75240140104	6	4	0
4400	-1609.7695097562	6	2	0
4500	-1638.67049629492	9	5	0
4600	-1609.5041446456	5	2	0
4700	-1611.78007526467	6	2	0
4800	-1613.4810938308	5	4	0
4900	-1614.33743428089	6	3	0
5000	-1619.53946380511	8	1	0
5100	-1630.56876170779	5	5	0
5200	-1615.35022546395	3	3	0
5300	-1607.19985991184	2	1	0
5400	-1608.22759039954	2	2	0
5500	-1612.17560293038	3	2	0
5600	-1607.24810332045	2	2	0
5700	-1628.51291238563	4	6	0
5800	-1617.37482245411	3	4	0
5900	-1615.12648941373	3	3	0
6000	-1613.49497571841	3	3	0
6100	-1614.71422794605	2	3	0
6200	-1616.44774388845	3	3	0
6300	-1628.81209190372	5	5	0
6400	-1606.84849841819	2	2	0
6500	-1608.10536594462	2	1	0
6600	-1612.14868438582	4	1	0
6700	-1608.77624883438	3	1	0
6800	-1611.76414088092	2	3	0
6900	-1629.77268113766	5	4	0
7000	-1611.02518999518	1	2	0
7100	-1617.16578183316	2	4	0
7200	-1612.40819551606	1	3	0
7300	-1623.93653701984	3	5	0
7400	-1630.00250002891	6	3	0
7500	-1627.33381030049	6	3	0
